"economic_object_code","economic_object_code_descn"
"0101","Civilian regular time - Continuing employment"
"0102","Civilian regular time - Part-time, seasonal, casual and student"
"0103","Civilian premium pay for work during non-standard hours or other reasons"
"0104","Civilian holiday pay in lieu of leave"
"0105","Civilian overtime (for additional hours)"
"0106","Civilian bilingual bonus"
"0107","Civilian severance pay and termination benefits"
"0108","Civilian severance pay and termination benefits - Immediate Settlement"
"0109","Military and Royal Canadian Mounted Police (RCMP) members retroactive payments - Current fiscal year"
"0110","Civilian retroactive payments - Previous fiscal year(s)"
"0111","Civilian retroactive payments - Current fiscal year"
"0112","Civilian pay equity"
"0113","Other salaries and wages"
"0114","Royal Canadian Mounted Police (RCMP) members - Overtime"
"0115","Military and Royal Canadian Mounted Police (RCMP) members - Regular time"
"0116","Military and Royal Canadian Mounted Police (RCMP) members - Severance pay and termination benefits - Immediate settlement"
"0117","Military and Royal Canadian Mounted Police (RCMP) members - Retroactive payments - Previous fiscal year(s)"
"0118","Military and Royal Canadian Mounted Police (RCMP) members - Holiday pay in lieu of leave"
"0119","Military and Royal Canadian Mounted Police (RCMP) members - Severance pay and termination benefits"
"0128","Royal Canadian Mounted Police (RCMP) - Bilingual bonus"
"0129","Compensation for employees, former employees and estates of deceased employees impacted by the Phoenix pay system"
"0120","Civilian - Allowances to compensate employees for certain expenses"
"0121","Civilian - Compensation for additional or specific duties performed"
"0122","Civilian - Pay equity allowances"
"0123","Civilian - Pay equity interest"
"0124","Civilian - Foreign service allowance"
"0125","Civilian - Isolated post allowance"
"0126","Civilian - Other allowances and benefits"
"0127","Military and Royal Canadian Mounted Police (RCMP) members - Allowances and benefits"
"0160","Employer contribution to Public Service Superannuation Account (PSSA) - Current"
"0161","Employer contribution to Public Service Superannuation Account(PSSA) - Actuarial deficiency"
"0162","Employer contribution to Public Service Death Benefit Account"
"0164","Employer contribution to the Canadian Forces Superannuation Account - Current"
"0165","Employer contribution to the Canadian Forces Superannuation Account - Actuarial deficiency"
"0166","Employer contribution to Canadian Forces Supplementary Death Benefit under Part II"
"0167","Employer contribution to Retirement Compensation Arrangements Account"
"0168","Employer contribution to the Royal Canadian Mounted Police (RCMP) Superannuation Account - Actuarial deficiency"
"0169","Employer contribution to Employment Insurance"
"0170","Employer contribution to Royal Canadian Mounted Police (RCMP) Superannuation Account"
"0171","Employer contribution to Members of Parliament Retirement Allowance Account"
"0172","Employer contribution to Canada and Quebec pension plans"
"0173","Employer contribution to other pension programs including Judges Act"
"0174","Employer contribution to hospital and medical plans"
"0176","Employer contribution for disability insurance"
"0177","Employer contributions - Other"
"0179","Personnel - Reallocation of capital expenditures"
"0181","Executive Interchange and other exchange programs"
"0182","Supplementary employee benefits"
"0184","Provincial workers' compensation boards payments and recoveries"
"0185","Other pension payments charged to expenses"
"0186","Other supplementary personnel costs"
"0187","Accrual of salaries and benefits"
"0188","Return of pension contributions charged to expenses"
"0207","Employee relocation in Canada"
"0208","Employee relocation outside Canada and/or return"
"0210","Transportation of things not elsewhere specified"
"0212","Postage and parcel post"
"0213","Courier services"
"0223","Communications/Network services (includes services for analog, digital or combined analog & digital, parts, peripherals and cabling)"
"0230","Voice communications services"
"0231","Data communications services"
"0232","Image/Video communications services (includes telepresence/video conferencing services)"
"0251","Public servant travel - Operational activities"
"0252","Public servant travel - Key stakeholders"
"0253","Public servant travel - Internal governance"
"0254","Public servant travel - Training"
"0255","Public servant travel - Other travel"
"0261","Non-public servant travel - Operational activities"
"0262","Non-public servant travel - Key stakeholders"
"0263","Non-public servant travel - Internal governance"
"0264","Non-public servant travel - Training"
"0265","Non-public servant travel - Other travel"
"0299","Transportation and communications - Reallocation of capital expenditures"
"0301","Advertising services"
"0311","Publishing services"
"0321","Printing services"
"0322","Imaging services"
"0331","Exposition services"
"0332","Audio-visual services"
"0341","Communications research services"
"0351","Communications professional services not elsewhere specified"
"0352","Public relations services"
"0361","Electronic subscriptions and electronic publications"
"0362","Data and database access services"
"0399","Information - Reallocation of capital expenditures"
"0401","Accounting and audit services"
"0402","Human resources management services"
"0403","Financial management services"
"0404","Communications services"
"0405","Real property services"
"0406","Material services"
"0407","Acquisition services"
"0811","Contracted building cleaning"
"0815","Collection agency fees and charges"
"0816","Service provider fees related to loan administration"
"0851","Banking services"
"0852","Real estate services"
"0853","Provincial administration of public service and merchant seamen compensation legislation"
"0854","Motor vehicle licences"
"0855","Acquisition and contract charges"
"0856","Provincial/territorial administrative costs"
"0859","Other business services not elsewhere specified"
"0410","Legal services"
"0420","Engineering services not elsewhere specified"
"0421","Architectural services"
"0422","Engineering consultants - Construction"
"0423","Engineering consultants - Other"
"0495","Services related to the assessment of potentially contaminated sites"
"0496","Services related to the remediation of contaminated sites"
"0497","Services related to the care and maintenance of contaminated sites"
"0498","Services related to the monitoring of previously contaminated sites"
"0430","Scientific services"
"0431","Scientific consultants"
"0492","Research contracts"
"0440","Education - Non-public servants"
"0444","Teachers and instructors on contract"
"0445","Tuition fees for courses where employees take training on their own time"
"0446","Training consultants"
"0447","Tuition fees and costs of attending courses including seminars not elsewhere specified"
"0448","Purchase of training packages and courses"
"0450","Hospital services"
"0451","Other health services not elsewhere specified"
"0452","Welfare services"
"0453","Physicians and surgeons"
"0454","Paramedical personnel"
"0455","Dental services"
"0460","Protection services"
"0473","Information technology and telecommunications consultants"
"0474","Information management services"
"0475","Information technology services"
"0812","Computer services (includes IT solutions/deliverables as well as IT managed services)"
"0491","Management consulting"
"0821","Membership fees"
"0822","Hospitality"
"0823","Conference fees"
"0813","Temporary help services"
"0493","Interpretation services"
"0494","Translation services"
"0881","Construction services"
"0499","Other professional services not elsewhere specified"
"0819","Non-professional services not specified elsewhere"
"0890","Other administrative service that is designated by order of the Governor in Council"
"0891","Personal services"
"0892","Recreational services"
"0899","Professional and special services - Reallocation of capital expenditures"
"0501","Rental of land"
"0510","Rental of residential buildings"
"0511","Rental of office buildings"
"0512","Rental of industrial and commercial buildings"
"0513","Rental of institutional buildings"
"0514","Rental of other buildings"
"0522","Rental of image/video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)"
"0582","License/Maintenance fees for client software related to Distributed Computing Environment (DCE)"
"0583","License/Maintenance fees for application software (including COTS) and application development and delivery software"
"0584","License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components"
"0585","License/Maintenance fees for networking software"
"0587","Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)"
"0588","Rental of computer equipment related to Distributed Computing Environment (DCE) - Desktop/personal/portable (includes all related parts and peripherals)"
"0589","Rental of communications/networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)"
"0590","License/Maintenance fees for image/video communications software (includes telepresence/video conferencing software)"
"0533","Rental of machinery, office furniture and fixtures and other equipment"
"0540","Rental of motor and other vehicles"
"0555","Capital lease - Tangible capital assets"
"0561","Rental of aircraft"
"0566","Rental of ships"
"0570","Rental - Other"
"0599","Rentals - Reallocation of capital expenditures"
"0601","Repair and maintenance - Marine installations"
"0607","Repair and maintenance - Highways, roads and streets"
"0608","Repair and maintenance - Runways, landing fields and tarmac"
"0611","Repair and maintenance - Waterworks and sewage systems"
"0619","Repair and maintenance - Electric power installations"
"0628","Repair and maintenance - Other engineering works"
"0630","Repair and maintenance - Office buildings"
"0634","Repair and maintenance - Commercial buildings"
"0635","Repair and maintenance - Industrial buildings"
"0639","Repair and maintenance - Institutional buildings"
"0640","Repair and maintenance - Buildings and/or installations for telecommunications, computers and/or electronic/automated office systems"
"0645","Repair and maintenance - Other buildings"
"0646","Repair and maintenance - Residential buildings"
"0655","Repair and maintenance - Processing machinery"
"0656","Repair and maintenance - Heating, air-conditioning and refrigeration equipment"
"0658","Repair and maintenance - Electric lighting, distribution and control equipment"
"0660","Repair and maintenance - Measuring, controlling, laboratory, medical and optical instruments, apparatus and accessories"
"0664","Repair and maintenance - Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)"
"0665","Repair and maintenance - Other equipment"
"0668","Repair and maintenance - Image/Video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)"
"0671","Repair and maintenance - Other office equipment"
"0672","Repair and maintenance - Computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)"
"0673","Repair and maintenance - Computer equipment related to Distributed Computing Environment (DCE) - Desktop/personal/portable (includes all related parts and peripherals)"
"0675","Repair and maintenance - Ships and boats"
"0676","Repair and maintenance - Aircraft"
"0681","Repair and maintenance - Road motor vehicles - Military"
"0682","Repair and maintenance - Road motor vehicles - Non-military"
"0683","Repair and maintenance - Miscellaneous vehicles"
"0699","Repair and maintenance - Purchased repair and maintenance - Reallocation of capital expenditures"
"0701","Electricity"
"0702","Natural gas"
"0703","Sewer and water"
"0705","Waste disposal"
"0709","Other utility services"
"1199","Utilities, materials and supplies - Reallocation of capital expenditures"
"1111","Live animals, including their fodder"
"1112","Meat, fish and their preparations"
"1113","Dairy products and other animal products"
"1114","Vegetables and fruits, edible products, fats and preparations"
"1115","Miscellaneous food, food materials and food preparations"
"1116","Beverages and tobacco"
"1121","Salt, sulphur, ores, earth and stone"
"1122","Gasoline"
"1123","Aviation fuel"
"1124","Diesel fuel"
"1125","Light fuel oil"
"1126","Heavy fuel oil"
"1127","Lubricating fuel and greases"
"1128","Other mineral fuels, oils and products"
"1130","Inorganic and organic chemicals, including plastics, rubber and products, and excluding tires and tubes"
