"Vendor","postal_code_vendor","contract_date","contract_value","commodity_code","commodity_code_descn","economic_object_code","economic_object_code_descn","contract_period_start","delivery_date","reporting_period"
"1270665 ONTARIO INC.","K1H","2025-02-10",16950,"R010","Auditing Services","0491","Management consulting","2025-02-10","2025-05-31","2024-2025-Q4"
"ADGA GROUP CONSULTANTS INC","K2P","2021-09-14",2460800,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2021-10-01","2024-09-30","2023-2024-Q2"
"ADGA GROUP CONSULTANTS INC","K2P","2021-09-14",630200,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2021-10-01","2022-09-30","2021-2022-Q2"
"ADGA GROUP CONSULTANTS INC","K2P","2018-10-01",1220400,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-10-01","2020-09-30","2019-2020-Q2"
"ADGA GROUP CONSULTANTS INC","K2P","2018-10-01",1830600,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-10-01","2021-09-30","2020-2021-Q2"
"ADGA GROUP CONSULTANTS INC","K2P","2018-10-01",610200,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-10-01","2019-09-30","2018-2019-Q3"
"AKKODIS CANADA INC.","K1P","2025-05-12",145199.35,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-05-12","2025-12-22","2025-2026-Q1"
"AKKODIS CANADA INC.","K1P","2025-01-06",151756.74,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-01-06","2025-12-22","2024-2025-Q4"
"AKKODIS CANADA INC.","K1P","2024-05-16",318714.24,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-05-16","2025-05-02","2024-2025-Q1"
"AKKODIS CANADA INC.","K1P","2024-03-06",626146.56,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-03-06","2025-05-02","2024-2025-Q1"
"AKKODIS CANADA INC.","K1P","2024-03-06",50768.64,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-03-06","2024-05-02","2023-2024-Q4"
"AKKODIS CANADA INC.","K1P","2023-06-04",207962.94,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-06-04","2025-12-22","2023-2024-Q4"
"AKKODIS CANADA INC.","K1P","2022-12-07",349868.85,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-12-07","2025-12-22","2023-2024-Q4"
"AKKODIS CANADA INC.","K1P","2022-07-19",105573.39,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-07-19","2023-05-02","2023-2024-Q4"
"ARCADIS PROFESSIONAL SERVICES","M4V","2023-09-06",10215.53,"D301","ADP Facility Operation and Maintenance Services","0473","Information technology and telecommunications consultants","2023-09-06","2023-10-02","2023-2024-Q2"
"ARCHITECTURE49 INC","R3T","2017-12-28",43228.5,"C211","Architect - Engineer Services (incl. landscaping, interior layout a","0499","Other professional services not elsewhere specified","2017-12-28","2018-03-02","2017-2018-Q3"
"ASSOCIATED AMBULANCE & SERVICES","T0A","2018-08-23",31795.94,"G001","Health Care","0813","Temporary help services","2018-08-23","2018-09-08","2018-2019-Q2"
"ASSOCIATION OF CANADIAN FINANCIAL","K1Z","2020-12-15",11500,"U008","Training/Curriculum Development","0491","Management consulting","2020-12-15","2021-02-16","2020-2021-Q3"
"AXON PUBLIC SAFETY CANADA INC.","M5W","2024-06-28",136431228,"D301","ADP Facility Operation and Maintenance Services","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-06-28","2030-10-31","2024-2025-Q1"
"AXON PUBLIC SAFETY CANADA INC.","M5W","2023-11-24",424089,"D301","ADP Facility Operation and Maintenance Services","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-11-24","2024-10-31","2024-2025-Q2"
"Accenture","K1P","2025-03-10",539052.38,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-03-10","2025-05-16","2024-2025-Q4"
