"vendor_name","vendor_postal_code","owner_org","owner_org_title","contract_value","commodity_code","commodity_type","economic_object_code","contract_date","contract_period_start","delivery_date","reporting_period","contracting_entity","commodity_type_describe","commodity_type1","GSIN.code","GSIN.Description","Commodity.Type"
"PHIRELIGHT SECURITY SOLUTIONS INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",83055,"B329","S",491,2017-07-14,2017-07-14,2018-03-31,"2017-2018-Q2","PWSOSA","Services","S","B329","Other Administrative Support Studies","Services"
"REPUBLIC ARCHITECTURE INC.","R3C","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",69378.75,"C211","S",473,2024-02-07,2024-02-07,2025-03-31,"2023-2024-Q4","DSOSA","Services","S","C211","Architect - Engineer Services (incl. landscaping, interior layout a","Services"
"ARCHITECTURE49 INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",43228.5,"C211","S",499,2017-12-28,2017-12-28,2018-03-02,"2017-2018-Q3","DSOSA","Services","S","C211","Architect - Engineer Services (incl. landscaping, interior layout a","Services"
"STANTEC ARCHITECTURE LIMITED","B3A","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",15850.45,"C219","S",499,2023-05-12,2023-05-12,2024-03-31,"2023-2024-Q1","DSOSA","Services","S","C219","Other Architect and Engineering Services","Services"
"AXON PUBLIC SAFETY CANADA INC.","M5W","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",424089,"D301","S",812,2023-11-24,2023-11-24,2024-10-31,"2024-2025-Q2","DC","Services","S","D301","ADP Facility Operation and Maintenance Services","Services"
"IBI GROUP PROFESSIONAL SERVICES",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",496689.71,"D301","S",473,2018-01-08,2018-01-08,2023-03-31,"2020-2021-Q2",NA,"Services","S","D301","ADP Facility Operation and Maintenance Services","Services"
"LEXIPOL LLC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",206838.94,"D301","S",812,2023-02-07,2023-02-08,2024-02-07,"2022-2023-Q4","DC","Services","S","D301","ADP Facility Operation and Maintenance Services","Services"
"AXON PUBLIC SAFETY CANADA INC.","M5W","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",136431228,"D301","S",812,2024-06-28,2024-06-28,2030-10-31,"2024-2025-Q1","PWC","Services","S","D301","ADP Facility Operation and Maintenance Services","Services"
"LEXIPOL LLC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",620516.82,"D301","S",812,2023-02-07,2023-02-08,2025-02-07,"2023-2024-Q4","DC","Services","S","D301","ADP Facility Operation and Maintenance Services","Services"
"LEXIPOL LLC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",827355.76,"D301","S",812,2023-02-07,2023-02-08,2026-02-07,"2024-2025-Q4","DC","Services","S","D301","ADP Facility Operation and Maintenance Services","Services"
"COGENT SYSTEMS INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",12153048.78,"D301","S",473,2012-06-28,2012-06-28,2017-06-30,"2017-2018-Q3",NA,"Services","S","D301","ADP Facility Operation and Maintenance Services","Services"
"ARCADIS PROFESSIONAL SERVICES","M4V","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",10215.53,"D301","S",473,2023-09-06,2023-09-06,2023-10-02,"2023-2024-Q2","DC","Services","S","D301","ADP Facility Operation and Maintenance Services","Services"
"IBI GROUP PROFESSIONAL SERVICES",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",11890.71,"D301","S",473,2021-07-16,2021-07-16,2021-08-31,"2021-2022-Q2",NA,"Services","S","D301","ADP Facility Operation and Maintenance Services","Services"
"ADGA GROUP CONSULTANTS INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1220400,"D302","S",473,2018-10-01,2018-10-01,2020-09-30,"2019-2020-Q2","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ADGA GROUP CONSULTANTS INC","K2P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",2460800,"D302","S",473,2021-09-14,2021-10-01,2024-09-30,"2023-2024-Q2","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"I4C INFORMATION TECHNOLOGY",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",432225,"D302","S",473,2021-10-06,2021-12-01,2023-03-31,"2021-2022-Q3","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",4562432.31,"D302","S",473,2022-02-13,2022-02-13,2023-11-24,"2023-2024-Q2","DC","Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",525992.4,"D302","S",473,2018-12-05,2018-12-05,2020-11-29,"2019-2020-Q2","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.","K2E","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1098360.02,"D302","S",473,2022-04-25,2022-04-25,2025-07-31,"2024-2025-Q2","DSOSA","Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.","K2E","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",732240,"D302","S",473,2022-04-25,2022-04-25,2024-07-31,"2022-2023-Q1","DSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",527936,"D302","S",473,2022-11-14,2022-11-14,2023-12-29,"2023-2024-Q3","PWC","Services","S","D302","OADP Systems Development Services","Services"
"MODIS CANADA INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",445635.84,"D302","S",473,2023-01-04,2023-01-04,2024-05-02,"2022-2023-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"MODIS CANADA INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",277154.47,"D302","S",473,2022-11-07,2022-11-07,2024-05-02,"2023-2024-Q3","DC","Services","S","D302","OADP Systems Development Services","Services"
"D4IS SOLUTIONS INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",385560,"D302","S",473,2019-04-01,2019-04-01,2020-03-31,"2019-2020-Q1","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"NRNS INCORPORATED","K0A","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1615674,"D302","S",473,2019-01-21,2019-01-21,2024-03-31,"2023-2024-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"COFOMO OTTAWA","K1N","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",303185.62,"D302","S",473,2022-12-12,2022-12-12,2023-10-10,"2023-2024-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"S.I. SYSTEMS","K1A","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",448610,"D302","S",473,2024-02-27,2024-02-27,2026-01-10,"2025-2026-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",519658.89,"D302","S",473,2024-02-05,2024-02-05,2024-05-08,"2023-2024-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",235164.3,"D302","S",473,2025-02-10,2025-02-10,2025-06-06,"2024-2025-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",469910.5,"D302","S",473,2025-01-06,2025-01-06,2025-03-07,"2024-2025-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"AKKODIS CANADA INC.","K1R","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",151756.74,"D302","S",473,2025-01-06,2025-01-06,2025-12-22,"2024-2025-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",119130.25,"D302","S",473,2024-03-07,2024-03-07,2024-05-31,"2023-2024-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",849466.2,"D302","S",473,2017-01-30,2015-04-01,2018-03-31,"2016-2017-Q4","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"DALIAN ENTERPRISES AND","K2P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1132938,"D302","S",473,2019-07-01,2019-07-01,2023-12-31,"2023-2024-Q1","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"CACHE CONSULTING CORPORATION","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",287189.5,"D302","S",473,2025-04-01,2025-04-01,2026-03-31,"2025-2026-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",77970,"D302","S",473,2018-04-24,2018-04-24,2018-04-24,"2018-2019-Q1",NA,"Services","S","D302","OADP Systems Development Services","Services"
"AKKODIS CANADA INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",626146.56,"D302","S",473,2024-03-06,2024-03-06,2025-05-02,"2024-2025-Q1","PWC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",282048,"D302","S",473,2024-04-12,2024-05-13,2024-12-31,"2024-2025-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"THE HALIFAX COMPUTER CONSULTING",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",22600,"D302","S",473,2019-05-10,2019-05-10,2020-05-09,"2019-2020-Q1",NA,"Services","S","D302","OADP Systems Development Services","Services"
"HARRIS CANADA SYSTEM INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",44436.46,"D302","S",473,2019-03-26,2019-03-26,2019-12-31,"2018-2019-Q4",NA,"Services","S","D302","OADP Systems Development Services","Services"
"MODIS CANADA INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",784093.44,"D302","S",473,2023-01-04,2023-01-04,2024-05-02,"2023-2024-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"MODIS CANADA INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",157296,"D302","S",473,2022-11-07,2022-11-07,2023-03-31,"2022-2023-Q3","DC","Services","S","D302","OADP Systems Development Services","Services"
"CACHE CONSULTING CORPORATION","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",236170,"D302","S",473,2025-04-01,2025-04-01,2026-03-31,"2025-2026-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"NRNS INCORPORATED",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",650880,"D302","S",473,2019-01-21,2019-01-21,2021-01-20,"2019-2020-Q3",NA,"Services","S","D302","OADP Systems Development Services","Services"
"S.I. SYSTEMS PARTNERSHIP","T2P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",41010.33,"D302","S",473,2022-02-18,2022-02-18,2023-01-11,"2022-2023-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"COFOMO OTTAWA","K1N","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",231496.41,"D302","S",473,2022-12-12,2022-12-12,2023-07-31,"2022-2023-Q3","DC","Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",804780.58,"D302","S",473,2018-12-05,2018-12-05,2021-11-30,"2020-2021-Q3","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",203354.8,"D302","S",473,2021-05-10,2021-05-10,2021-10-29,"2021-2022-Q1",NA,"Services","S","D302","OADP Systems Development Services","Services"
"AKKODIS CANADA INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",207962.94,"D302","S",473,2023-06-04,2023-06-04,2025-12-22,"2023-2024-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",405103.31,"D302","S",473,2018-09-10,2018-09-10,2020-03-31,"2019-2020-Q2",NA,"Services","S","D302","OADP Systems Development Services","Services"
"SYSTEMATIX IT SOLUTIONS INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",24652.08,"D302","S",473,2018-08-27,2018-08-27,2018-08-27,"2018-2019-Q2","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",332762.4,"D302","S",491,2021-05-10,2021-05-10,2021-10-29,"2021-2022-Q1",NA,"Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",442199.74,"D302","S",473,2019-02-22,2019-02-22,2020-11-29,"2019-2020-Q4","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",67122,"D302","S",473,2018-12-05,2018-12-05,2019-03-31,"2018-2019-Q3","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",314275.6,"D302","S",491,2021-02-16,2021-02-16,2021-07-31,"2020-2021-Q4",NA,"Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.","K2E","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1431834.31,"D302","S",473,2022-04-25,2022-04-25,2026-07-31,"2025-2026-Q1","DSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",2075789.73,"D302","S",473,2023-02-20,2023-02-20,2023-08-18,"2022-2023-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"CACHE CONSULTING CORPORATION","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",196145.4,"D302","S",473,2025-04-01,2025-04-01,2026-03-31,"2025-2026-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
